dimension,coefficient,samples_per_class,noise,method,mean,std,count
50,5,250,0.1,CEC,62.96632794437561,10.598009330656325,100
50,5,250,0.1,Differential Entropy,,,0
50,5,250,0.1,Gaussian Mixture,69.27772331614653,10.922118893250923,100
50,5,250,0.1,Reg. EM,62.42390823957672,8.457121619073956,100
50,5,250,0.1,Self-Information,78.4995002592482,1.1436377879603403,100
50,5,250,0.2,$L_2$ Norm,73.99730291198881,7.630977811429901,100
50,5,250,0.2,CEC,59.198334509946896,7.5738873791803885,100
50,5,250,0.2,Differential Entropy,,,0
50,5,250,0.2,Gaussian Mixture,62.21778334160052,10.762050234570266,100
50,5,250,0.2,Reg. EM,60.703853023019086,7.73397162041718,100
50,5,250,0.2,Self-Information,78.72102943146051,1.2519696238247258,100
50,5,250,0.5,$L_2$ Norm,76.99304087663175,3.928539520969377,100
50,5,250,0.5,CEC,53.97172407851771,2.714828253706731,100
50,5,250,0.5,Differential Entropy,,,0
50,5,250,0.5,Gaussian Mixture,52.807534396431535,2.145599726512124,100
50,5,250,0.5,Reg. EM,54.32252747708465,2.5886115127435776,100
50,5,250,0.5,Self-Information,77.45848441341212,1.4971903715854051,100
50,5,250,0.7,$L_2$ Norm,68.28297102368789,2.5541990832959045,100
50,5,250,0.7,CEC,52.44389367674328,1.9438499154097113,100
50,5,250,0.7,Differential Entropy,,,0
50,5,250,0.7,Gaussian Mixture,52.42436624774087,2.0178443017045047,100
50,5,250,0.7,Reg. EM,53.07144198746415,2.2370403242444725,100
50,5,250,0.7,Self-Information,71.12103787250639,1.643083735551684,100
50,5,250,0.9,$L_2$ Norm,56.14998639530286,2.1907139139591396,100
50,5,250,0.9,CEC,51.987925834279686,1.3920497888746897,100
50,5,250,0.9,Differential Entropy,,,0
50,5,250,0.9,Gaussian Mixture,51.793976508218556,1.3952079087918314,100
50,5,250,0.9,Reg. EM,51.965650544437786,1.2636229263225698,100
50,5,250,0.9,Self-Information,57.987963557973096,2.069077804397352,100
50,20,1000,0.0,$L_2$ Norm,66.04559388348274,7.27572430851422,100
50,20,1000,0.0,CEC,84.55046987120996,20.75839495030809,100
50,20,1000,0.0,Differential Entropy,,,0
50,20,1000,0.0,Gaussian Mixture,99.43931266355978,0.17293778663448314,100
50,20,1000,0.0,Reg. EM,79.9439670341501,21.63356006548209,100
50,20,1000,0.0,Self-Information,77.91777746586348,0.5717149257459373,100
50,20,1000,0.1,$L_2$ Norm,57.677365436153735,12.518559723046556,100
50,20,1000,0.1,CEC,81.25251730635499,21.47519857050512,100
50,20,1000,0.1,Differential Entropy,,,0
50,20,1000,0.1,Gaussian Mixture,99.10916666477677,0.21662535888704484,100
50,20,1000,0.1,Reg. EM,81.97608861088857,20.638908486935964,100
50,20,1000,0.1,Self-Information,77.61453593154742,0.6958545859131584,100
50,20,1000,0.2,$L_2$ Norm,82.88171299354826,11.795831045175179,100
50,20,1000,0.2,CEC,86.59302688851511,19.49293589693072,100
50,20,1000,0.2,Differential Entropy,,,0
50,20,1000,0.2,Gaussian Mixture,98.70832106487002,0.2698870789092944,100
50,20,1000,0.2,Reg. EM,80.23071302547068,20.623804419760006,100
50,20,1000,0.2,Self-Information,77.3406212844204,0.6510581472420994,100
50,20,1000,0.5,$L_2$ Norm,78.33317484480796,1.8875134024297964,100
50,20,1000,0.5,CEC,92.54712729424566,10.54670867201122,100
50,20,1000,0.5,Differential Entropy,,,0
50,20,1000,0.5,Gaussian Mixture,95.36712064275669,0.4436714447846285,100
50,20,1000,0.5,Reg. EM,84.27911264509221,16.916021330631096,100
50,20,1000,0.5,Self-Information,73.2474528508423,0.7413434868335513,100
50,20,1000,0.7,$L_2$ Norm,67.72837581898995,1.3398222229423522,100
50,20,1000,0.7,CEC,83.090957213376,11.179377945769694,100
50,20,1000,0.7,Differential Entropy,,,0
50,20,1000,0.7,Gaussian Mixture,82.95888127191434,10.184590686646521,100
50,20,1000,0.7,Reg. EM,69.54791012797531,14.99604061914067,100
50,20,1000,0.7,Self-Information,66.6533441352947,0.8506589262537089,100
50,20,1000,0.9,$L_2$ Norm,56.073593495059974,0.98616292461611,100
50,20,1000,0.9,CEC,52.717669445362986,2.0034290777407318,100
50,20,1000,0.9,Differential Entropy,,,0
50,20,1000,0.9,Gaussian Mixture,51.94754246631588,1.5179909676969707,100
50,20,1000,0.9,Reg. EM,52.09782340927702,1.6747588002152964,100
50,20,1000,0.9,Self-Information,55.82659505183946,1.137506178739827,100
